model,prompt,fra_Latn,aeb_Arab,afr_Latn,aka_Latn,amh_Ethi,ary_Arab,arz_Arab,bam_Latn,bem_Latn,cjk_Latn,dik_Latn,dyu_Latn,ewe_Latn,fon_Latn,fuv_Latn,gaz_Latn,hau_Latn,ibo_Latn,kab_Latn,kam_Latn,kbp_Latn,kea_Latn,kik_Latn,kin_Latn,kmb_Latn,knc_Arab,knc_Latn,kon_Latn,lin_Latn,lua_Latn,lug_Latn,luo_Latn,mos_Latn,nso_Latn,nus_Latn,nya_Latn,plt_Latn,run_Latn,sag_Latn,sna_Latn,som_Latn,sot_Latn,ssw_Latn,swh_Latn,taq_Latn,taq_Tfng,tir_Ethi,tsn_Latn,tso_Latn,tum_Latn,twi_Latn,tzm_Tfng,umb_Latn,wol_Latn,xho_Latn,yor_Latn,zul_Latn,afr_Latn,amh_Ethi,bem_Latn,ewe_Latn,hau_Latn,ibo_Latn,kin_Latn,mlg_Latn,nde_Latn,nso_Latn,nya_Latn,orm_Ethi,sna_Latn,som_Latn,ssw_Latn,swa_Latn,tir_Ethi,tsn_Latn,ven_Latn,wol_Latn,xho_Latn,yor_Latn,zul_Latn,ach-eng,lgg-eng,lug-eng,nyn-eng,swa-eng,teo-eng,amh_en,bam_fr,bbj_fr,ewe_fr,fon_fr,hau_en,ibo_en,kin_en,lug_en,luo_en,mos_fr,nya_en,pcm_en,sna_en,swa_en,tsn_en,twi_en,wol_fr,xho_en,yor_en,zul_en,avg,,,ibo-eng
Llama-3.1-70B-Instruct,prompt_1,70.84,57.36,76.9,32.78,45.25,55.03,60.07,24.22,30.25,24.46,24.32,23.16,24.73,21.42,24.08,27.51,49.86,46.42,25.35,26.94,25.6,55.63,29.98,43.11,24.49,17.35,26.02,29.48,30.64,26.17,34.05,23.82,22.91,36.94,21.58,35.26,41.95,33.4,24.14,35.01,38.82,37.4,33.12,65.57,24.78,16.37,28.53,36.11,33.04,31.07,34.42,17.71,23.2,27,39.95,35.34,42.64,76.22,42.08,33.8,26.95,52.96,50.83,44.68,41.69,38.78,38.11,38.6,26.03,36.97,44.54,36.25,64.84,30.71,42.39,31.34,27.44,42.01,34.18,43.27,18.56,20.43,35.73,24.57,66.15,18.09,36.56,23.92,16.94,32.65,18.65,23.49,44.7,53.97,44.94,17.28,17.41,34.49,59.4,47.84,57.36,44.32,16.19,17.12,57.04,31.22,54.64,35.5,,,39.91
Llama-3.1-70B-Instruct,prompt_2,70.95,58.45,77.65,34.44,48.21,56.86,60.95,24.83,31.91,25.44,24.56,23.81,25.61,21.82,24.54,30.58,53.76,48.04,26.69,28.79,25.82,62.14,31.97,44.52,25.8,17.33,25.54,29.96,32.65,28.71,36.3,25.09,23.45,40.52,20.24,37.7,46.38,36.78,25.86,38.77,43.86,41.68,36.94,65.7,25.45,16.86,31.02,40.24,37.34,34.06,36.74,19.42,25.26,29.14,43.4,37.33,47.31,76.94,43.82,34.9,27.81,56.94,52.21,46.18,44.07,40.64,41.14,40.57,27.94,40.74,50.1,39.2,65.04,31.92,46.49,33.36,28.87,44.62,36.17,46.92,18.86,20.36,38.11,26.89,66.22,18.36,38.65,24.36,17.02,33.02,19.58,38.69,44.7,53.73,44.51,27.14,18.69,47.61,64.42,50.22,57.77,51.77,36.85,18.51,59.9,39.96,55.17,37.9,,,40.72
Llama-3.1-70B-Instruct,prompt_3,70.67,58.68,77.87,34,48.57,56.88,60.55,24.51,31.35,24.66,24.75,22.88,24.93,20.85,24.7,30.42,54.19,47.82,25.98,28.51,25.53,63.45,31.97,44.84,24.76,17.22,25.53,29.24,32.28,27.88,36.39,24.61,23.35,40.32,19.69,37.77,45.94,36.11,24.67,37.9,44.17,41.7,36.71,66.13,24.87,16.88,30.55,40.21,36.99,33.59,36.47,18.42,24.69,28.83,43.35,37.06,46.89,76.74,43.44,34.49,27.79,56.83,51.79,46.04,43.74,40.42,41.06,40.39,28.03,40.62,50.19,39.57,64.82,31.87,46.1,33.32,28.35,44.45,35.36,46.55,19.43,21.02,38.52,26.6,66.18,18.23,3.1,7.34,11.67,24.69,17.32,14.69,21.51,26.52,43.19,9.94,6.19,22.05,47.76,30.01,25.6,22.68,15.64,6.18,24.33,27.31,23.81,33.9,,,40.99
gemini-1.5-pro-002,prompt_1,66.41,57.27,72.77,39.41,60.86,55.4,57.78,28.34,44.79,26.4,23.78,25.45,35.64,26.89,26.4,43.9,55.91,51.78,32.07,31.29,29.5,67.41,38.29,54.44,30.76,17.75,24.45,41.71,45.34,38.07,45.03,26.97,23.92,54.78,22.54,49.21,54.89,47.42,33.4,49.74,53.09,57.97,48.3,65.26,25.66,21.03,47.8,48.43,48.35,42.09,42.81,24.58,28.68,30.86,56.39,43.59,58.28,68.96,49.32,41.51,33.57,55.14,50.86,50.23,46.94,42.6,47.64,48.61,31.94,50.16,58.01,50.11,58.57,45.04,49.24,43.97,28.08,51.8,44.15,50.81,22.09,18.76,54.26,38.24,67.4,16.38,24.38,37.62,42.55,54.62,48.26,28.1,46.8,43.74,41.18,52.83,51.48,35.83,55.16,32.22,49.29,25.73,10.85,32.15,19.52,16.63,21,41.7,,,47.68
gemini-1.5-pro-003,prompt_2,66.27,57.69,72.67,40.4,60.49,55.54,58.01,28.46,45.16,26.63,23.75,25.52,35.71,27.19,26.46,44.03,56.42,51.66,31.77,31.61,29.51,67.37,38.26,54.34,30.78,17.95,24.64,42.04,45.33,38.29,44.77,28.02,24.17,54.89,22.52,48.93,54.95,47.37,33.58,49.31,52.89,57.78,47.96,65,25.5,20.96,47.62,48.22,48.4,42,42.73,24.49,28.58,31.1,56.46,43.58,58.33,69.2,49.02,41.87,33.68,55.29,51.26,50.48,46.78,42.49,47.64,48.48,32,49.79,58.01,49.66,59.03,44.68,49.39,44.74,28.35,51.7,44.02,50.85,23.88,19.18,54.07,38.94,67.84,16.95,24.63,37.35,42.3,55.31,48.15,27.24,46.61,42.68,40.79,52.75,51.89,35.51,56.26,30.67,49.23,24.15,9.74,31.78,13.71,16.16,19.16,41.6,,,47.6
gemini-1.5-pro-004,prompt_3,66.39,57.7,72.92,40,60.32,55.49,57.99,28.14,45.25,26.1,23.47,25.46,35.29,26.74,25.98,43.04,56.25,51.23,31.39,31.29,29.17,67.01,37.82,54.25,30.43,17.5,24.54,41.28,44.91,38.05,44.74,28.03,23.8,54.71,22.14,48.74,54.68,47.12,33,48.91,52.65,57.58,48.03,64.9,25.35,20.57,47.43,48.3,47.95,41.71,42.71,24.24,28.5,30.64,56.07,43.02,57.81,68.96,48.85,41.65,33.46,54.9,50.92,50.32,46.62,42.41,47.46,48.32,31.67,49.85,57.51,49.51,58.76,44.68,49.13,44.61,28.14,51.21,43.5,50.34,23.38,18.97,53.88,38.65,67.58,16.73,24.36,37.52,43.03,55.17,48.26,27.79,46.93,41.34,41.13,53.01,51.64,35.9,55.77,32.23,49.41,25.73,10.83,32.57,19.79,16.76,21.04,41.6,,,47.82
gpt-4o-2024-08-06,prompt_1,65.53,57.21,72.71,39.79,53.13,55.54,57.69,27.66,40.08,24.97,23.62,24.27,27.14,20.41,27.8,47.33,54.13,50.75,29.83,34.32,22.28,67,40.01,53.74,26.06,16.58,24.62,39.53,44.71,30.77,46.85,34.79,22.31,56.3,20.85,48.22,53.76,45.71,25.8,48.42,52.23,57.25,46.17,63.48,25.58,15.26,36.35,48.81,48.27,41.32,41.26,18.12,27.17,40.54,56,44.45,57.26,68.48,42.98,37.47,26.52,53.11,49.43,48.56,44.93,42.19,46.67,46.85,33.84,47.86,56.42,47.15,56.79,34.86,48.87,44.57,38,50.5,45.82,49.56,26.07,19.6,54.95,39.21,66.81,18.09,19.63,37.48,39.49,56.24,46.08,30.77,46,52.95,41.08,53.81,49.53,31.47,58.27,23.55,49.95,14,6.35,20.79,8.87,10.76,24.92,40.2,,,47.27
gpt-4o-2024-08-07,prompt_2,66.05,57.53,72.95,40,53.37,55.79,57.85,28.85,41.25,26.23,24.75,25.42,28.2,22.3,28.42,48.11,54.51,50.68,30.46,35.25,23.49,67.37,40.82,53.75,26.85,17.78,25.59,39.58,44.74,32.16,47.23,38.81,23.43,56.77,22.64,48.2,53.71,46.21,26.43,48.31,52.7,57.5,47.59,64.11,26.12,17.55,37.04,49.25,48.75,41.38,41.82,19.03,27.51,40.69,56.32,44.81,58.03,68.47,43.17,38.46,27.73,53.2,49.62,48.52,44.82,42.21,46.87,46.57,34.42,47.74,56.78,49.17,56.9,35.19,48.87,45.74,38.41,50.79,46.26,49.89,27.53,19.75,55.38,40.57,67.51,17.96,17.57,35.87,39.17,52.26,45.45,28.5,44.23,51.44,40.34,53.59,49.13,31.23,53.86,23.24,42.28,10.11,6.66,14.95,8.02,9.35,17.39,40.3,,,47.44
gpt-4o-2024-08-08,prompt_3,66.03,57.54,72.84,40.03,53.28,55.53,57.88,28.65,41.29,26.26,24.76,25.7,28.02,22.58,28.38,48.07,54.4,50.78,30.33,35.28,23.47,67.59,40.77,53.73,26.83,18.15,25.7,39.64,44.57,32.41,47.04,38.66,23.58,56.59,22.63,48.04,53.82,46.12,26.61,48.25,52.91,57.56,47.66,64.07,25.87,17.92,36.81,49.2,49.02,41.53,41.94,18.92,27.56,40.81,56.35,44.73,57.64,68.49,43.07,38.56,27.74,53.1,49.66,48.49,44.84,42.23,46.79,46.4,34.43,47.68,56.79,49.58,56.85,35.17,48.87,45.5,38.35,50.58,46.01,49.6,27.21,19.74,55.37,39.95,67.59,18.56,19.86,37.6,39.65,56.44,46.2,30.81,46.07,52.38,40.95,53.81,49.61,31.81,58.17,22.23,50.02,14.42,6.06,20.81,7.72,9.22,24.92,40.7,,,47.27
InkubaLM-0.4B,prompt_1,1.26,0.17,1.65,0.79,0,0.21,0.16,0.41,1.21,1.15,0.5,0.91,0.45,1.13,0.73,1.02,0.74,0.35,1.13,0.59,0.37,1.17,0.09,0.86,1.45,0.14,0.95,1.4,1.09,1.14,1.12,1.06,1.27,1.17,0.12,1.37,1.15,1.27,0.82,1,0.9,1.16,0.8,1.13,0.91,0.32,0,0.82,0.76,0.87,1.08,0.2,0.92,0.5,0.84,0.5,1.15,1.6,0,1.13,0.32,0.74,0.33,0.9,1.06,0.86,1.19,1.34,1,0.91,0.98,0.7,1.06,0,0.81,2.79,0.71,0.97,0.71,0.97,0.37,0.79,1.11,0.69,0.79,1.03,,,,,,,,,,,,,,,,,,,,,,,,,0.65
InkubaLM-0.4B,prompt_2,1.13,1.13,0.79,2.27,0,0.95,1.07,1.53,0.88,0.45,1.12,0.9,0.9,2.43,0.92,0.83,0.49,0.43,0.88,0.43,1.09,0.65,0.06,0.36,0.7,0.41,0.95,0.41,0.32,0.61,0.56,0.83,1.63,0.51,0.71,0.45,0.33,0.59,1.25,0.63,0.86,1.18,0.83,0.48,0.72,0.74,0,0.45,0.51,0.67,2.25,0.39,0.28,0.7,0.46,0.38,0.48,0.99,0,1.06,0.8,0.52,0.39,0.39,0.45,0.62,1.53,0.39,0.87,0.39,1.21,0.83,0.58,0,0.46,3.34,0.63,0.58,0.59,0.77,1,1.31,0.63,0.95,0.38,1.32,,,,,,,,,,,,,,,,,,,,,,,,,0.43
InkubaLM-0.4B,prompt_3,0.85,0.99,1.38,2.73,0,0.82,1.07,1.24,1.3,0.66,1.78,1.14,1.22,2.6,1.19,0.86,0.54,0.53,0.92,0.52,1.26,0.85,0.21,0.67,0.98,0.39,0.92,0.4,0.53,0.77,0.68,1.37,1.98,0.96,0.59,0.55,0.48,1.02,1.21,0.55,0.99,1.71,0.46,0.46,0.77,0.67,0,0.6,0.49,0.81,2.34,0.32,0.38,0.82,0.41,0.27,0.46,1.76,0,1.52,1.1,0.68,0.5,0.54,0.63,0.59,1.98,0.49,1.08,0.6,1.21,0.82,0.49,0,0.66,3.66,0.82,0.59,0.39,0.9,1.67,1.85,1.18,1.14,0.8,2.42,,,,,,,,,,,,,,,,,,,,,,,,,1.45
