model,prompt,fra_Latn,aeb_Arab,afr_Latn,aka_Latn,amh_Ethi,ary_Arab,arz_Arab,bam_Latn,bem_Latn,cjk_Latn,dik_Latn,dyu_Latn,ewe_Latn,fon_Latn,fuv_Latn,gaz_Latn,hau_Latn,ibo_Latn,kab_Latn,kam_Latn,kbp_Latn,kea_Latn,kik_Latn,kin_Latn,kmb_Latn,knc_Arab,knc_Latn,kon_Latn,lin_Latn,lua_Latn,lug_Latn,luo_Latn,mos_Latn,nso_Latn,nus_Latn,nya_Latn,plt_Latn,run_Latn,sag_Latn,sna_Latn,som_Latn,sot_Latn,ssw_Latn,swh_Latn,taq_Latn,taq_Tfng,tir_Ethi,tsn_Latn,tso_Latn,tum_Latn,twi_Latn,tzm_Tfng,umb_Latn,wol_Latn,xho_Latn,yor_Latn,zul_Latn,afr_Latn,amh_Ethi,bem_Latn,ewe_Latn,hau_Latn,ibo_Latn,kin_Latn,mlg_Latn,nde_Latn,nso_Latn,nya_Latn,orm_Ethi,sna_Latn,som_Latn,ssw_Latn,swa_Latn,tir_Ethi,tsn_Latn,ven_Latn,wol_Latn,xho_Latn,yor_Latn,zul_Latn,eng-ach,eng-lgg,eng-lug,eng-nyn,eng-swa,eng-teo,en_amh,en_hau,en_ibo,en_kin,en_lug,en_luo,en_nya,en_pcm,en_sna,en_swa,en_tsn,en_twi,en_xho,en_yor,en_zul,fr_bam,fr_bbj,fr_ewe,fr_fon,fr_mos,fr_wol,avg,,,eng-ibo
Llama-3.1-70B-Instruct,prompt_1,71.27,43.07,68.11,24.45,18.95,36.92,44.17,11.33,21.04,20.14,8.68,9.66,14.88,11.51,18.87,21.61,43.66,35.86,17.08,23.81,9.23,37.33,20.2,25.66,18.45,2.49,12.26,20.85,20.65,16.57,23.61,9.18,12.34,28.97,6.4,26.5,36.13,22.25,14.21,23.83,33.36,28.18,4.32,58.78,13.09,0.83,9.2,28.11,21.66,22.69,25.88,0.72,17.16,14.87,27.18,18.35,28.61,69.2,14.3,22.2,17.4,44.9,40.7,27.4,34.0,26.4,27.4,27.5,21.9,22.4,35.7,4.3,59.6,9.0,31.0,20.4,16.6,28.2,17.66,30.06,7.24,5.46,25.48,18.87,58.57,5.99,19.9,35.5,40.6,37.3,19.2,8.4,42.5,21.7,35.6,53.5,24.7,22.6,45.7,18.8,43.2,9.0,8.9,12.9,8.8,8.0,6.4,23.8,,,33.05
Llama-3.1-70B-Instruct,prompt_2,71.65,43.36,68.21,26,20.48,37.89,43.96,11.88,23.43,20.5,9.73,8.64,15.91,9.55,13.8,22.71,45.02,36.29,18.41,25.13,10.31,39.52,20.48,28.75,17.17,3.19,10.94,20.41,21.78,19.1,25.91,18.8,12.71,30.32,6.26,27.88,39.23,25.77,10.44,26.12,34.69,30.41,24.57,59.5,12.44,0.88,9.68,30.57,25.05,23.34,27.49,0.77,15.77,15.5,28.55,19.13,30.54,69.6,15.4,24.9,17.9,46.7,42.0,30.2,36.4,28.9,28.8,29.7,22.9,26.9,37.9,26.4,60.5,9.6,33.1,20.4,17.6,29.8,18.25,32.39,9.78,6.11,27.47,19.53,60.41,6.06,20.6,35.9,41.0,39.4,16.6,7.4,43.1,13.9,36.4,53.7,28.1,22.5,45.5,20.5,43.3,7.9,6.7,11.9,7.6,7.4,6.03,25.1,,,34.09
Llama-3.1-70B-Instruct,prompt_3,71.63,43.09,68.19,25.74,20.74,37.98,43.85,11.46,22.18,18.85,9.01,7.62,15.58,8.47,12.37,22.79,45.48,36.44,18.54,25.09,10.43,39.33,20.23,28.9,17.83,3.4,11.13,19.66,21.68,18.86,25.87,17.85,11.71,30.5,6.31,28.17,38.67,25.4,10.57,26.22,34.79,31.08,24.53,59.68,11.2,0.94,9.69,31.51,25.88,23.05,27.11,0.76,14.9,16.25,28.58,19.4,30.76,69.6,15.5,24.5,17.7,47.3,42.1,31.1,36.3,29.4,28.6,30.2,22.7,26.8,37.6,26.6,60.4,9.4,33.4,20.2,17.5,29.6,17.99,32.51,9.07,5.84,28.7,19.51,60.24,6.6,11.1,24.7,30.1,31.6,22.9,15.9,40.8,49.9,22.6,43.1,26.3,21.6,32.7,17.2,40.1,12.9,11.5,13.3,11.7,13.8,7.97,24.9,,,33.83
gemini-1.5-pro-002,prompt_1,69.31,44.63,64.95,33.23,41.45,41.02,46.66,26.43,36.02,16.94,16.50,20.14,35.50,20.99,19.87,40.94,49.81,41.56,27.11,24.29,26.61,49.09,29.03,49.26,28.17,10.91,14.30,39.36,46.56,35.58,40.34,25.63,16.78,49.21,12.36,46.98,51.78,41.01,35.92,45.85,45.54,47.00,35.51,61.13,16.15,15.69,25.43,47.39,48.69,38.68,36.24,22.25,25.73,22.53,49.82,28.47,53.42,65.5,28.1,34.2,32.9,47.2,42.6,45.8,46.2,36.9,32.2,48.4,35.5,45.2,47.2,28.8,58.2,23.5,47.5,43.4,22.7,44.7,19.15,47.64,28.33,14.22,52.31,34.58,65.90,17.05,37.9,40.2,41.6,55.3,49.4,27.2,46.1,60.7,48.3,55.3,52.0,38.2,60.9,41.1,52.7,27.3,17.2,36.5,24.6,20.5,26.29,37.3,,,41.17
gemini-1.5-pro-002,prompt_2,68.81,41.87,65.01,33.51,40.42,40.18,46.46,26.77,36.43,21.63,17.06,20.17,35.68,21.30,20.34,40.97,49.70,41.40,27.14,25.41,26.60,48.11,29.78,49.34,28.54,11.56,16.33,39.77,46.80,36.07,40.73,28.42,17.34,50.08,13.08,47.04,48.60,42.25,36.36,45.56,45.28,47.06,44.43,60.25,13.54,15.73,25.61,47.78,49.01,39.63,36.06,24.73,25.91,22.98,49.70,28.80,53.30,65.5,27.8,35.3,33.2,47.1,42.3,46.0,46.2,38.1,31.9,47.9,35.6,45.4,47.0,44.5,58.2,23.9,47.4,43.6,23.1,44.7,18.77,47.49,29.00,15.03,52.50,34.28,65.05,17.34,37.5,40.5,42.6,55.0,49.6,26.1,46.2,60.8,48.2,54.6,52.3,38.0,60.9,40.9,53.0,26.2,14.5,36.3,23.5,18.8,25.24,37.6,,,41.03
gemini-1.5-pro-002,prompt_3,69.13,41.72,65.10,33.47,39.62,39.84,46.13,26.66,36.51,22.08,17.25,20.18,35.81,21.20,20.37,40.92,49.57,41.10,27.79,25.36,26.52,48.61,29.57,48.87,28.68,11.01,16.28,38.63,46.87,35.88,40.61,28.22,17.15,49.99,13.35,46.70,50.04,42.07,36.32,45.64,45.38,47.28,44.14,60.16,16.02,15.78,25.42,47.71,48.48,39.31,35.82,19.69,25.85,22.85,49.17,28.47,53.34,65.6,27.7,35.0,32.6,47.0,41.6,45.7,46.2,37.9,31.8,47.7,35.7,45.3,46.6,44.1,58.0,23.6,47.4,43.2,23.0,44.5,18.74,47.28,28.90,14.68,52.73,33.85,65.27,17.10,37.8,40.6,43.0,55.9,49.4,27.5,46.0,61.2,47.8,55.3,52.3,38.1,60.8,41.2,53.2,27.3,17.1,36.7,24.5,20.4,26.13,37.6,,,40.52
gpt-4o-2024-08-06,prompt_1,69.18,42.01,65.26,27.72,30.74,39.66,47.67,14.19,26.76,15.66,11.71,11.22,18.66,10.48,12.74,36.82,49.98,39.85,16.12,16.92,8.78,47.04,19.45,48.03,13.54,5.99,14.93,28.82,45.20,14.65,39.22,25.09,10.83,47.92,9.81,46.39,51.68,38.33,15.78,45.39,45.47,46.57,30.83,61.73,11.47,3.16,13.53,44.31,42.22,29.38,30.17,2.12,17.07,24.73,49.05,23.57,48.85,66.0,20.3,26.1,19.6,47.9,42.1,45.5,44.1,34.4,32.0,47.0,33.2,44.4,47.3,24.8,59.3,12.7,44.1,33.3,24.5,42.8,19.82,41.30,19.71,13.94,46.04,27.77,67.12,15.00,34.9,40.4,44.8,53.8,50.4,34.5,45.2,61.5,46.5,54.6,53.4,38.4,61.1,41.6,52.1,26.0,18.3,30.4,20.1,19.9,32.91,33.4,,,39.02
gpt-4o-2024-08-06,prompt_2,70.12,46.04,66.27,29.07,33.06,43.24,49.85,15.30,28.45,12.73,12.32,11.43,19.53,8.69,13.07,39.57,50.76,40.67,20.62,21.85,8.30,49.65,22.88,49.79,11.04,6.55,15.37,27.70,46.52,20.10,39.83,31.64,9.84,49.71,10.33,47.39,52.51,41.42,16.55,46.39,45.73,47.50,40.10,62.39,10.13,10.94,14.33,45.18,45.84,34.86,30.80,3.45,15.36,26.83,50.84,23.34,53.41,66.4,22.3,28.7,20.2,49.0,42.5,46.5,46.1,38.2,32.4,47.7,34.9,46.2,48.2,40.3,60.1,14.4,45.2,38.1,26.7,45.8,20.14,48.09,20.09,14.70,47.05,28.53,67.66,15.44,34.3,40.3,45.1,53.6,50.2,32.3,44.8,61.4,46.1,54.0,53.2,37.9,60.5,40.9,51.6,20.9,16.2,27.8,14.3,15.7,31.72,34.5,,,39.45
gpt-4o-2024-08-06,prompt_3,70.21,46.32,66.35,29.14,32.78,43.41,49.97,15.59,28.27,17.68,12.91,11.87,20.14,9.79,13.15,39.41,50.67,40.74,21.69,23.27,9.13,50.30,23.01,49.80,16.53,7.25,15.93,32.71,46.29,22.21,39.93,32.61,10.82,49.79,11.33,47.13,52.86,41.27,17.22,46.40,45.84,47.39,40.30,62.39,10.62,10.76,14.63,45.20,45.79,36.56,30.70,1.62,19.47,26.84,50.44,23.35,53.63,66.3,22.4,28.8,20.6,48.7,42.6,46.5,46.0,38.2,32.4,47.4,34.9,46.1,48.0,40.8,60.0,14.0,45.0,38.3,26.5,45.6,20.12,48.02,20.44,14.77,48.00,28.03,67.88,15.50,34.8,40.4,45.9,53.9,50.3,34.5,45.0,61.6,46.3,54.2,53.4,38.4,60.6,41.3,52.1,26.0,18.1,30.4,19.2,19.5,32.85,35.1,,,39.41
InkubaLM-0.4B,prompt_1,1.05,0.04,2.03,1.43,0.03,0.05,0.02,1.03,2.34,1.82,2.39,1.81,1.66,1.13,1.7,1.66,2.13,1.19,1.2,1.5,1.59,1.9,1.06,2.33,1.6,0.02,0.95,1.28,2.1,2.8,1.77,1.9,1.53,2.52,1.28,1.34,2.31,1.68,1.95,1.38,2.54,2.37,1.86,0.84,2.1,0.07,0.02,1.88,1.71,1.91,1.3,0.04,1.43,1.2,1.56,0.44,1.4,2.0,0.1,2.2,1.6,1.9,1.2,2.6,1.9,1.1,2.7,1.1,1.7,1.0,2.3,2.1,1.0,0.1,1.5,1.5,1.2,1.7,0.52,1.55,1.13,0.76,1.1,1.26,0.77,0.91,,,,,,,,,,,,,,,,,,,,,,1.4,,,0.4
InkubaLM-0.4B,prompt_2,1.16,0.02,1.23,0.86,0.06,0.02,0.04,0.41,1.88,1.27,1.65,0.96,0.94,0.74,1.46,0.81,1.14,0.42,0.78,0.64,1.26,1.13,0.48,1.34,0.79,0.01,0.4,0.2,1.66,1.27,1.05,1.05,1.19,1.36,0.99,0.4,1.33,0.91,1,0.85,1.44,1.52,1.27,0.34,0.75,0.03,0.04,1.21,0.85,0.78,0.93,0.06,0.94,0.41,1.03,0.16,0.79,1.1,0.1,2.0,1.2,1.1,0.6,1.6,1.1,0.5,1.7,0.6,0.9,0.3,1.5,1.4,0.4,0.0,1.3,1.2,0.3,1.3,0.23,1.15,0.79,0.54,0.8,1.02,0.87,1.01,,,,,,,,,,,,,,,,,,,,,,0.9,,,0.51
InkubaLM-0.4B,prompt_3,1,0.03,1.07,0.9,0.06,0.01,0.03,0.62,2.16,1.39,3.24,1.36,1.24,0.82,1.47,1.33,1.3,0.48,0.81,0.98,1.56,0.77,1.16,1.12,1.31,0.02,0.69,0.6,1.18,2.64,1.14,1.53,0.78,2.41,1.11,0.78,1.95,1.35,1.27,1.22,1.78,2.48,0.95,0.83,2.03,0.06,0.05,1.39,1.73,1.29,1.49,0.08,0.61,0.66,1.48,0.35,1.62,0.8,0.2,2.2,1.2,1.3,0.5,1.2,1.1,0.6,2.6,0.5,1.3,0.7,1.5,1.1,0.9,0.1,0.8,1.3,0.7,1.8,0.59,1.91,1.37,0.76,1.57,0.85,1.44,0.98,,,,,,,,,,,,,,,,,,,,,,1.1,,,0.92
